"name","url","views"
"2010 Report to Congress on White House Staff","https://opendata.socrata.com/Government/2010-Report-to-Congress-on-White-House-Staff/vedg-c5sb","511,977"
"The White House - Nominations & Appointments","https://opendata.socrata.com/dataset/The-White-House-Nominations-Appointments/n5m4-mism","531,769"
"2011 Report to Congress on White House Staff","https://opendata.socrata.com/Government/2011-Report-to-Congress-on-White-House-Staff/73t8-rw4g","374,522"
"Milk  RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Milk-RadNet-Laboratory-Analysis/pkfj-5jsd","216,313"
"Precipitation RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Precipitation-RadNet-Laboratory-Analysis/e2xy-undq","206,661"
"Le Sarkomètre","https://opendata.socrata.com/Government/Le-Sarkom-tre/mm2p-747g","183,042"
"2012 Annual Report to Congress on White House Staff","https://opendata.socrata.com/Government/2012-Annual-Report-to-Congress-on-White-House-Staf/jv7a-cjdv","203,032"
"Drinking Water RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Drinking-Water-RadNet-Laboratory-Analysis/4ig7-9eqd","152,442"
"Sorted RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Sorted-RadNet-Laboratory-Analysis/w9fb-tgv6","153,493"
"Air Filter & Cartridge RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Air-Filter-Cartridge-RadNet-Laboratory-Analysis/3d4g-9muv","115,646"
"Three Years TMA Crash Data","https://opendata.socrata.com/Education/Three-Years-TMA-Crash-Data/2d8p-a3dh","17"
"Three Years Crashes Rochester TMA","https://opendata.socrata.com/Education/Three-Years-Crashes-Rochester-TMA/wriw-zzs2","6"
"Olympia: Precipitation RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Olympia-Precipitation-RadNet-Laboratory-Analysis/swzy-5bwh","7,469"
"Most common reasons for food recalls","https://opendata.socrata.com/Government/Most-common-reasons-for-food-recalls/9iuc-3wkn","6,664"
"Index of U.S. Government Departments and Agencies","https://opendata.socrata.com/Government/Index-of-U-S-Government-Departments-and-Agencies/2yen-rixh","6,651"
"US Cities With Iodine Radiation In The Drinking Water","https://opendata.socrata.com/Government/US-Cities-With-Iodine-Radiation-In-The-Drinking-Wa/yqd5-rjuc","6,781"
"column chart","https://opendata.socrata.com/dataset/column-chart/yrrn-qemb","6,687"
"Denver: Drinking Water RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Denver-Drinking-Water-RadNet-Laboratory-Analysis/9jpu-dqw4","6,954"
"White House Visitor Logs (annotated)","https://opendata.socrata.com/Government/White-House-Visitor-Logs-annotated-/df8n-kd3j","6,911"
"Washington's structurally deficient bridges","https://opendata.socrata.com/Government/Washington-s-structurally-deficient-bridges/y3ea-t8vj","6,768"
"House Disbursements Summary 2009 Q3","https://opendata.socrata.com/Government/House-Disbursements-Summary-2009-Q3/5cst-9cm5","6,742"
"EPA Air Sampling: Response to BP Oil Spill","https://opendata.socrata.com/Government/EPA-Air-Sampling-Response-to-BP-Oil-Spill/498c-fwrs","6,807"
"UtahBeerTaxmap","https://opendata.socrata.com/Government/UtahBeerTaxmap/6i4w-nzeq","8,228"
"E Liquid Cost Per ML","https://opendata.socrata.com/dataset/E-Liquid-Cost-Per-ML/mpg2-phvs","10,720"
"Texas Lawmaker Personal Financial Statements For CY 2012-2","https://opendata.socrata.com/Government/Texas-Lawmaker-Personal-Financial-Statements-For-C/k2dw-gwje","8,444"
"Top 25 Facebook Game developers","https://opendata.socrata.com/Personal/Top-25-Facebook-Game-developers/7xeu-r99j","8,193"
"Hawaii Honolulu Precipitation","https://opendata.socrata.com/Government/Hawaii-Honolulu-Precipitation/6iva-fhgg","8,886"
"County comparison","https://opendata.socrata.com/Government/County-comparison/jinf-pspj","7,525"
"SBA Loan Failure Rate by NAICS Industry Code","https://opendata.socrata.com/Business/SBA-Loan-Failure-Rate-by-NAICS-Industry-Code/hc6g-7b34","9,745"
"Top 10 Loudest College Basketball Arenas","https://opendata.socrata.com/dataset/Top-10-Loudest-College-Basketball-Arenas/rtuv-rirn","7,093"
"ovhksearch","https://opendata.socrata.com/dataset/ovhksearch/g4c9-gaxy","8,656"
"San Francisco: Milk RadNet Laboratory Analysis","https://opendata.socrata.com/Government/San-Francisco-Milk-RadNet-Laboratory-Analysis/k4dk-y6ex","8,406"
"Potential Jobs Created by the Recovery and Reinvestment Act","https://opendata.socrata.com/Government/Potential-Jobs-Created-by-the-Recovery-and-Reinves/dqfg-a9mp","7,663"
"RadNet Laboratory Analysis","https://opendata.socrata.com/Government/RadNet-Laboratory-Analysis/cf4r-dfwe","6,448"
"Bernie Madoff Investors","https://opendata.socrata.com/Business/Bernie-Madoff-Investors/ymsz-fkh9","8,045"
