127.0.0.1, 2014-06-11 13:41:18, GET, /, HTTP/1.1, 303, 0.849000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/default/index, HTTP/1.1, 200, 1.070000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:19, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/default/index, HTTP/1.1, 200, 0.087000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:21, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.001000
